Technique ID,Technique Name,Is Sub-Technique,Parent Technique ID,Parent Technique Name,Tactics,Platforms,Data Components,Data Component Count,Log Sources,Log Source Count,Threat Groups Using This Technique,Threat Group Count
T1001,Data Obfuscation,False,,,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Creation",3,"NSM:Flow
auditd:SYSCALL
macos:unifiedlog",3,Gamaredon Group,1
T1001.001,Data Obfuscation: Junk Data,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Access
Process Creation",4,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxi:vmkernel
macos:osquery
macos:unifiedlog",7,APT28,1
T1001.002,Data Obfuscation: Steganography,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","File Creation
File Metadata
Network Connection Creation
Network Traffic Content
Process Creation",5,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxi:vmkernel
macos:osquery
macos:unifiedlog",7,Axiom,1
T1001.003,Data Obfuscation: Protocol or Service Impersonation,True,T1001,Data Obfuscation,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Content
Process Creation
Process Metadata",4,"NSM:Content
NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
macos:osquery
macos:unifiedlog",7,"Higaisa, Lazarus Group, Mustang Panda",3
T1003,OS Credential Dumping,False,,,Credential Access,"Linux, Windows, macOS","Active Directory Object Access
File Access
Process Access
Process Creation
Process Metadata",5,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
macos:keychain
macos:osquery
macos:unifiedlog",6,"APT28, APT32, APT39, Axiom, BlackByte, Ember Bear, Leviathan, Mustang Panda, Poseidon Group, Sowbug, Storm-0501, Suckfly, Tonto Team",13
T1003.001,OS Credential Dumping: LSASS Memory,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
Process Access
Process Creation
User Account Metadata
Windows Registry Key Modification",5,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT1, APT28, APT3, APT32, APT33, APT39, APT41, APT5, Agrius, Aquatic Panda, BRONZE BUTLER, Blue Mockingbird, Cleaver, Earth Lusca, Ember Bear, FIN13, FIN6, FIN8, Fox Kitten, GALLIUM, HAFNIUM, Indrik Spider, Ke3chang, Kimsuky, Leafminer, Leviathan, Magic Hound, Medusa Group, Moonstone Sleet, MuddyWater, Mustang Panda, OilRig, PLATINUM, Play, RedCurl, Sandworm Team, Silence, Threat Group-3390, UNC3886, Volt Typhoon, Whitefly, Wizard Spider",42
T1003.002,OS Credential Dumping: Security Account Manager,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
File Modification
Process Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT29, APT41, APT5, Agrius, Daggerfly, Dragonfly, Ember Bear, FIN13, GALLIUM, Ke3chang, Threat Group-3390, Wizard Spider, menuPass",13
T1003.003,OS Credential Dumping: NTDS,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Creation
File Modification
Process Creation
Volume Creation",4,"WinEventLog:Microsoft-Windows-VSS
WinEventLog:Security
WinEventLog:Sysmon",3,"APT28, APT41, Chimera, Dragonfly, FIN13, FIN6, Fox Kitten, HAFNIUM, Ke3chang, LAPSUS$, Medusa Group, Mustang Panda, Sandworm Team, Scattered Spider, Volt Typhoon, Wizard Spider, menuPass",17
T1003.004,OS Credential Dumping: LSA Secrets,True,T1003,OS Credential Dumping,Credential Access,Windows,"File Modification
Module Load
Process Access
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT29, APT33, Dragonfly, Ember Bear, Ke3chang, Leafminer, MuddyWater, OilRig, Threat Group-3390, menuPass",10
T1003.005,OS Credential Dumping: Cached Domain Credentials,True,T1003,OS Credential Dumping,Credential Access,"Linux, Windows","File Access
Process Access
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
auditd:EXECVE
auditd:SYSCALL
linux:osquery",5,"APT33, Leafminer, MuddyWater, OilRig",4
T1003.006,OS Credential Dumping: DCSync,True,T1003,OS Credential Dumping,Credential Access,Windows,"Active Directory Object Access
Active Directory Object Deletion
Network Traffic Content",3,"NSM:Content
WinEventLog:Security",2,"Earth Lusca, LAPSUS$, Mustang Panda, Storm-0501",4
T1003.007,OS Credential Dumping: Proc Filesystem,True,T1003,OS Credential Dumping,Credential Access,Linux,"File Access
File Modification
Process Access
Process Creation",4,"auditd:SYSCALL
linux:Sysmon",2,,0
T1003.008,OS Credential Dumping: /etc/passwd and /etc/shadow,True,T1003,OS Credential Dumping,Credential Access,Linux,"File Access
Process Creation",2,auditd:SYSCALL,1,,0
T1005,Data from Local System,False,,,Collection,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
File Access
File Creation
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxis:vmkernel
fs:fsusage
macos:unifiedlog
networkdevice:cli",8,"APT1, APT28, APT29, APT3, APT37, APT38, APT39, APT41, Agrius, Andariel, Aquatic Panda, Axiom, BRONZE BUTLER, CURIUM, Dark Caracal, Dragonfly, Ember Bear, FIN13, FIN6, FIN7, Fox Kitten, GALLIUM, Gamaredon Group, HAFNIUM, Inception, Ke3chang, Kimsuky, LAPSUS$, Lazarus Group, LuminousMoth, Magic Hound, OilRig, Patchwork, RedCurl, Sandworm Team, Stealth Falcon, Threat Group-3390, ToddyCat, Turla, Volt Typhoon, Windigo, Wizard Spider, menuPass",43
T1006,Direct Volume Access,False,,,Defense Evasion,"Network Devices, Windows","Command Execution
Process Access
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
networkdevice:cli",3,"Scattered Spider, Volt Typhoon",2
T1007,System Service Discovery,False,,,Discovery,"Linux, Windows, macOS","Command Execution
Process Creation",2,"WinEventLog:PowerShell
WinEventLog:Security
auditd:EXECVE
macos:osquery
macos:unifiedlog",5,"APT1, Aquatic Panda, BRONZE BUTLER, Chimera, Earth Lusca, Indrik Spider, Ke3chang, Kimsuky, OilRig, Poseidon Group, TeamTNT, Turla, Volt Typhoon, admin@338",14
T1008,Fallback Channels,False,,,Command and Control,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Flow",2,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
esxi:vmkernel
esxi:vpxd
macos:unifiedlog",6,"APT41, FIN7, Lazarus Group, OilRig, UNC3886",5
T1010,Application Window Discovery,False,,,Discovery,"Linux, Windows, macOS","Command Execution
OS API Execution
Process Access
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:EXECVE
linus:syslog
macos:osquery
macos:unifiedlog",6,"HEXANE, Lazarus Group, Volt Typhoon",3
T1011,Exfiltration Over Other Network Medium,False,,,Exfiltration,"Linux, Windows, macOS","Command Execution
File Creation
Host Status
Network Connection Creation
Network Traffic Content
Network Traffic Flow
Process Creation",7,"NSM:Flow
WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
macos:osquery
macos:unifiedlog",6,,0
T1011.001,Exfiltration Over Other Network Medium: Exfiltration Over Bluetooth,True,T1011,Exfiltration Over Other Network Medium,Exfiltration,"Linux, Windows, macOS","Command Execution
File Access
File Creation
Network Connection Creation
Process Creation",5,"WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
linux:osquery
linux:syslog
macos:osquery
macos:unifiedlog",7,,0
T1012,Query Registry,False,,,Discovery,Windows,"Command Execution
Process Creation
Windows Registry Key Modification",3,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,"APT32, APT39, APT41, BlackByte, Chimera, Daggerfly, Dragonfly, Fox Kitten, Gamaredon Group, Indrik Spider, Kimsuky, Lazarus Group, Lotus Blossom, OilRig, Stealth Falcon, Threat Group-3390, Turla, Volt Typhoon, ZIRCONIUM",19
T1014,Rootkit,False,,,Defense Evasion,"Linux, Windows, macOS","Driver Load
File Creation
File Modification
Module Load
Process Creation
Service Creation",6,"WinEventLog:Sysmon
WinEventLog:System
auditd:EXECVE
fs:fsevents
linux:osquery
linux:syslog
macos:osquery
macos:unifiedlog",8,"APT28, APT41, Rocke, TeamTNT, UNC3886, Winnti Group",6
T1016,System Network Configuration Discovery,False,,,Discovery,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
Process Creation",2,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:EXECVE
esxi:hostd
macos:unifiedlog
networkdevice:cli",6,"APT1, APT19, APT3, APT32, APT41, APT42, BlackByte, Chimera, Darkhotel, Dragonfly, Earth Lusca, FIN13, GALLIUM, HAFNIUM, HEXANE, Higaisa, Ke3chang, Kimsuky, Lazarus Group, Lotus Blossom, Magic Hound, Medusa Group, Moonstone Sleet, Moses Staff, MuddyWater, Mustang Panda, Naikon, OilRig, Play, Scattered Spider, SideCopy, Sidewinder, Stealth Falcon, TeamTNT, Threat Group-3390, Tropic Trooper, Turla, Volt Typhoon, Wizard Spider, ZIRCONIUM, admin@338, menuPass",42
T1016.001,System Network Configuration Discovery: Internet Connection Discovery,True,T1016,System Network Configuration Discovery,Discovery,"ESXi, Linux, Windows, macOS","Command Execution
Network Connection Creation
Process Creation
Script Execution",4,"WinEventLog:PowerShell
WinEventLog:Security
WinEventLog:Sysmon
auditd:EXECVE
esxi:hostd
esxi:shell
linux:syslog
macos:unifiedlog",8,"APT29, FIN13, FIN8, Gamaredon Group, HAFNIUM, HEXANE, Lotus Blossom, Magic Hound, TA2541, Turla, Volt Typhoon",11
T1016.002,System Network Configuration Discovery: Wi-Fi Discovery,True,T1016,System Network Configuration Discovery,Discovery,"Linux, Windows, macOS","Command Execution
File Access
Process Creation",3,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:EXECVE
auditd:PATH
macos:unifiedlog",5,Magic Hound,1
T1018,Remote System Discovery,False,,,Discovery,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
File Access
Network Connection Creation
Process Creation",4,"WinEventLog:Sysmon
auditd:EXECVE
esxi:hostd
linux:syslog
macos:osquery
macos:unifiedlog
networkdevice:syslog",7,"APT3, APT32, APT39, APT41, Agrius, Akira, BRONZE BUTLER, BlackByte, Chimera, Deep Panda, Dragonfly, Earth Lusca, Ember Bear, FIN5, FIN6, FIN8, Fox Kitten, GALLIUM, HAFNIUM, HEXANE, Indrik Spider, Ke3chang, Leafminer, Lotus Blossom, Magic Hound, Medusa Group, Mustang Panda, Naikon, Play, Rocke, Sandworm Team, Scattered Spider, Silence, Threat Group-3390, ToddyCat, Turla, Volt Typhoon, Wizard Spider, menuPass",39
T1020,Automated Exfiltration,False,,,Exfiltration,"Linux, Network Devices, Windows, macOS","Network Connection Creation
Process Creation
Scheduled Job Creation",3,"NSM:Flow
WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
macos:cron
macos:unifiedlog",6,"Gamaredon Group, Ke3chang, RedCurl, Sidewinder, Tropic Trooper, Winter Vivern",6
T1020.001,Automated Exfiltration: Traffic Duplication,True,T1020,Automated Exfiltration,Exfiltration,"IaaS, Network Devices","Network Connection Creation
Network Traffic Flow",2,"AWS:CloudTrail
AWS:VPCFlowLogs
networkdevice:Flow
networkdevice:syslog",4,,0
T1021,Remote Services,False,,,Lateral Movement,"ESXi, IaaS, Linux, Windows, macOS","Command Execution
Logon Session Creation
Network Connection Creation
Process Creation",4,"AWS:CloudTrail
AWS:VPCFlowLogs
WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
esxi:shell
esxi:vmkernel
linux:syslog
macos:osquery
macos:unifiedlog",10,"Aquatic Panda, Ember Bear, Wizard Spider",3
T1021.001,Remote Services: Remote Desktop Protocol,True,T1021,Remote Services,Lateral Movement,Windows,"Logon Session Creation
Logon Session Metadata
Network Connection Creation
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT1, APT3, APT39, APT41, APT5, Agrius, Akira, Aquatic Panda, Axiom, BlackByte, Blue Mockingbird, Chimera, Cobalt Group, Dragonfly, FIN10, FIN13, FIN6, FIN7, FIN8, Fox Kitten, HEXANE, INC Ransom, Indrik Spider, Kimsuky, Lazarus Group, Leviathan, Magic Hound, Medusa Group, OilRig, Patchwork, Scattered Spider, Silence, Volt Typhoon, Wizard Spider, menuPass",35
T1021.002,Remote Services: SMB/Windows Admin Shares,True,T1021,Remote Services,Lateral Movement,Windows,"Logon Session Creation
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT28, APT3, APT32, APT39, APT41, Aquatic Panda, BlackByte, Blue Mockingbird, Chimera, Cinnamon Tempest, Deep Panda, FIN13, FIN8, Fox Kitten, Ke3chang, Lazarus Group, Moses Staff, Orangeworm, Play, Sandworm Team, Storm-1811, Threat Group-1314, ToddyCat, Turla, Velvet Ant, Wizard Spider",26
T1021.003,Remote Services: Distributed Component Object Model,True,T1021,Remote Services,Lateral Movement,Windows,"Logon Session Creation
Module Load
Network Connection Creation
Process Creation",4,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1021.004,Remote Services: SSH,True,T1021,Remote Services,Lateral Movement,"ESXi, Linux, macOS","Command Execution
Logon Session Creation
Logon Session Metadata
Network Traffic Content
Network Traffic Flow
Process Creation",6,"NSM:Flow
auditd:EXECVE
esxi:auth
esxi:shell
esxi:vmkernel
linux:syslog
macos:osquery
macos:unifiedlog",8,"APT39, APT5, Aquatic Panda, BlackTech, FIN13, FIN7, Fox Kitten, GCMAN, Indrik Spider, Lazarus Group, Leviathan, OilRig, Rocke, Salt Typhoon, Scattered Spider, Storm-1811, TeamTNT, UNC3886, menuPass",19
T1021.005,Remote Services: VNC,True,T1021,Remote Services,Lateral Movement,"Linux, Windows, macOS","Logon Session Creation
Logon Session Metadata
Network Traffic Flow
Process Creation",4,"NSM:Flow
NSM:firewall
WinEventLog:Security
WinEventLog:Sysmon
auditd:EXECVE
linux:syslog
macos:osquery
macos:unifiedlog",8,"FIN7, Fox Kitten, GCMAN, Gamaredon Group",4
T1021.006,Remote Services: Windows Remote Management,True,T1021,Remote Services,Lateral Movement,Windows,"Logon Session Creation
Network Traffic Flow
Process Creation
Service Metadata",4,"NSM:Connections
WinEventLog:Security
WinEventLog:Sysmon
WinEventLog:WinRM",4,"Chimera, FIN13, Storm-0501, Threat Group-3390, Wizard Spider",5
T1021.007,Remote Services: Cloud Services,True,T1021,Remote Services,Lateral Movement,"IaaS, Identity Provider, Office Suite, SaaS","Command Execution
File Access
Logon Session Creation",3,"AWS:CloudTrail
Okta:SystemLog
gcp:audit
m365:unified
saas:auth",5,"APT29, Scattered Spider, Storm-0501",3
T1021.008,Remote Services: Direct Cloud VM Connections,True,T1021,Remote Services,Lateral Movement,IaaS,"Logon Session Creation
Process Creation",2,"AWS:CloudTrail
WinEventLog:Sysmon",2,,0
T1025,Data from Removable Media,False,,,Collection,"Linux, Windows, macOS","Drive Creation
File Access
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
fs:fsusage
journald:systemd
macos:osquery
macos:unifiedlog",8,"APT28, Gamaredon Group, OilRig, Turla",4
T1027,Obfuscated Files or Information,False,,,Defense Evasion,"ESXi, Linux, Network Devices, Windows, macOS","Command Execution
File Creation
File Metadata
File Modification
Network Traffic Content
OS API Execution
Process Creation",7,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
esxi:hostd
esxi:vmkernel
linux:cli
macos:osquery
macos:unifiedlog
networkdevice:IDS",9,"APT-C-36, APT3, APT37, APT41, BackdoorDiplomacy, BlackOasis, Earth Lusca, GALLIUM, Gallmaker, Gamaredon Group, Ke3chang, Kimsuky, Moonstone Sleet, Mustang Panda, RedCurl, Rocke, Sandworm Team, Windshift",18
T1027.001,Obfuscated Files or Information: Binary Padding,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Access
File Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
fs:fsusage
linux:osquery
macos:unifiedlog",6,"APT29, Akira, BRONZE BUTLER, Higaisa, Kimsuky, Leviathan, Moafee, Patchwork",8
T1027.002,Obfuscated Files or Information: Software Packing,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","Process Access
Process Creation
Process Modification",3,"WinEventLog:Sysmon
auditd:SYSCALL
macos:endpointsecurity
macos:unifiedlog",4,"APT29, APT3, APT38, APT39, APT41, Aoqin Dragon, Dark Caracal, Elderwood, GALLIUM, Kimsuky, Medusa Group, MoustachedBouncer, Patchwork, Rocke, Saint Bear, Storm-0501, TA2541, TA505, TeamTNT, The White Company, Threat Group-3390, Volt Typhoon, ZIRCONIUM",23
T1027.003,Obfuscated Files or Information: Steganography,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Access
Network Connection Creation
Process Creation",3,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
macos:osquery
macos:unifiedlog",5,"APT37, Andariel, BRONZE BUTLER, Earth Lusca, Leviathan, MuddyWater, TA551, Tropic Trooper",8
T1027.004,Obfuscated Files or Information: Compile After Delivery,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Creation
Network Connection Creation
Process Creation",3,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
macos:osquery
macos:unifiedlog",5,"Gamaredon Group, MuddyWater, Rocke, Sea Turtle",4
T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","Application Log Content
File Creation
File Metadata
Process Creation
Process Modification",5,"EDR:detection
WinEventLog:Application
WinEventLog:Sysmon
auditd:SYSCALL
linux:osquery
macos:osquery
macos:unifiedlog",7,"APT3, Deep Panda, GALLIUM, OilRig, Patchwork, Turla, UNC3886",7
T1027.006,Obfuscated Files or Information: HTML Smuggling,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Creation
File Metadata
Network Traffic Content
Process Creation",4,"EDR:detection
Network Traffic
WinEventLog:Sysmon
auditd:SYSCALL
gatekeeper/quarantine database
linux:osquery
macos:osquery
macos:unifiedlog",8,APT29,1
T1027.007,Obfuscated Files or Information: Dynamic API Resolution,True,T1027,Obfuscated Files or Information,Defense Evasion,Windows,"Module Load
OS API Execution
Process Creation",3,"WinEventLog:Sysmon
etw:Microsoft-Windows-Kernel-Process",2,"Lazarus Group, Mustang Panda",2
T1027.008,Obfuscated Files or Information: Stripped Payloads,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Network Devices, Windows, macOS","File Creation
File Metadata
File Modification
Network Traffic Content
Process Creation",5,"EDR:file
NSM:Flow
WinEventLog:Sysmon
auditd:EXECVE
auditd:SYSCALL
linux:osquery
macos:endpointsecurity
macos:osquery
macos:unifiedlog",9,,0
T1027.009,Obfuscated Files or Information: Embedded Payloads,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Access
File Creation
File Metadata
File Modification
Process Creation",5,"EDR:file
WinEventLog:Sysmon
auditd:SYSCALL
ebpf:syscalls
linux:osquery
macos:endpointsecurity
macos:osquery
macos:unifiedlog",8,"Lazarus Group, Moonstone Sleet, TA577",3
T1027.010,Obfuscated Files or Information: Command Obfuscation,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","Command Execution
Process Creation",2,"WinEventLog:Security
auditd:SYSCALL
linux:osquery
macos:endpointsecurity
macos:unifiedlog",5,"APT19, APT32, Aquatic Panda, Chimera, Cobalt Group, Contagious Interview, FIN6, FIN7, FIN8, Fox Kitten, GOLD SOUTHFIELD, Gamaredon Group, HEXANE, Kimsuky, LazyScripter, Leafminer, Magic Hound, Medusa Group, MuddyWater, Patchwork, Play, Sandworm Team, Sidewinder, Silence, TA505, TA551, Turla, Wizard Spider",28
T1027.011,Obfuscated Files or Information: Fileless Storage,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows","File Creation
File Metadata
WMI Creation
Windows Registry Key Modification",4,"WinEventLog:Application
WinEventLog:Security
auditd:SYSCALL
linux:osquery",4,"APT32, Turla",2
T1027.012,Obfuscated Files or Information: LNK Icon Smuggling,True,T1027,Obfuscated Files or Information,Defense Evasion,Windows,"File Metadata
Network Connection Creation
Process Creation",3,WinEventLog:Sysmon,1,"Gamaredon Group, Kimsuky, Mustang Panda",3
T1027.013,Obfuscated Files or Information: Encrypted/Encoded File,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","Command Execution
Module Load
Network Connection Creation
Process Access
Process Creation
Process Modification",6,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
linux:Sysmon
macos:endpointsecurity
macos:unifiedlog",6,"APT18, APT19, APT28, APT32, APT33, APT39, BITTER, Blue Mockingbird, Contagious Interview, Dark Caracal, Darkhotel, Elderwood, Fox Kitten, Group5, Higaisa, Inception, Lazarus Group, Leviathan, Magic Hound, Malteiro, Metador, Mofang, Moonstone Sleet, Moses Staff, OilRig, Putter Panda, Saint Bear, Sidewinder, Storm-1811, TA2541, TA505, TeamTNT, Threat Group-3390, Transparent Tribe, Tropic Trooper, Whitefly, menuPass",37
T1027.014,Obfuscated Files or Information: Polymorphic Code,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Creation
File Modification
Module Load
Process Access
Process Creation
Process Metadata
Process Modification",7,"WinEventLog:Sysmon
auditd:SYSCALL
fs:fsusage
macos:endpointsecurity
macos:unifiedlog",5,,0
T1027.015,Obfuscated Files or Information: Compression,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Access
File Creation
File Metadata
File Modification
Process Creation",5,"WinEventLog:Sysmon
auditd:SYSCALL
fs:fsusage
macos:unifiedlog",4,"Gamaredon Group, Higaisa, Leviathan, Mofang, Molerats, TA2541, Threat Group-3390",7
T1027.016,Obfuscated Files or Information: Junk Code Insertion,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Creation
Process Access
Process Creation
Process Modification",4,"WinEventLog:Sysmon
auditd:SYSCALL
macos:endpointsecurity",3,"APT32, FIN7, Gamaredon Group, Kimsuky, Mustang Panda",5
T1027.017,Obfuscated Files or Information: SVG Smuggling,True,T1027,Obfuscated Files or Information,Defense Evasion,"Linux, Windows, macOS","File Creation
File Modification
Network Connection Creation
Network Traffic Content
Process Creation",5,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
macos:endpointsecurity
macos:unifiedlog",5,,0
T1029,Scheduled Transfer,False,,,Exfiltration,"Linux, Windows, macOS","Network Connection Creation
Network Traffic Flow
Process Creation
Scheduled Job Metadata",4,"NSM:Flow
WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
linux:cron
macos:endpointsecurity
macos:launchd
macos:unifiedlog",8,Higaisa,1
T1030,Data Transfer Size Limits,False,,,Exfiltration,"ESXi, Linux, Windows, macOS","Network Connection Creation
Network Traffic Flow",2,"NSM:Flow
WinEventLog:Sysmon
auditd:SYSCALL
macos:endpointsecurity
macos:unifiedlog",5,"APT28, APT41, LuminousMoth, Play, Threat Group-3390",5
T1033,System Owner/User Discovery,False,,,Discovery,"Linux, Network Devices, Windows, macOS","Command Execution
OS API Execution
Process Creation",3,"WinEventLog:PowerShell
WinEventLog:Sysmon
auditd:SYSCALL
macos:endpointsecurity
macos:unifiedlog
networkdevice:syslog",6,"APT19, APT3, APT32, APT37, APT38, APT39, APT41, Aquatic Panda, Chimera, Dragonfly, Earth Lusca, FIN10, FIN7, FIN8, GALLIUM, Gamaredon Group, HAFNIUM, HEXANE, Ke3chang, Lazarus Group, LuminousMoth, Magic Hound, Medusa Group, Moonstone Sleet, MuddyWater, OilRig, Patchwork, Sandworm Team, Sidewinder, Stealth Falcon, Storm-1811, Threat Group-3390, Tropic Trooper, Volt Typhoon, Windshift, Winter Vivern, Wizard Spider, ZIRCONIUM",38
T1036,Masquerading,False,,,Defense Evasion,"Containers, ESXi, Linux, Windows, macOS","Command Execution
File Metadata
File Modification
Image Metadata
Process Creation
Process Metadata
Service Creation
Service Metadata",8,"WinEventLog:Sysmon
WinEventLog:System
auditd:SYSCALL
containerd:runtime
docker:events
ebpf:syscalls
esxi:hostd
esxi:shell
fs:fileevents
linux:osquery
linux:syslog
macos:endpointsecurity
macos:unifiedlog",13,"APT28, APT32, Agrius, Aoqin Dragon, BRONZE BUTLER, Contagious Interview, Ember Bear, FIN13, LazyScripter, Nomadic Octopus, OilRig, PLATINUM, Sandworm Team, Storm-1811, TA551, TeamTNT, Windshift, Winter Vivern, ZIRCONIUM, menuPass",20
T1036.001,Masquerading: Invalid Code Signature,True,T1036,Masquerading,Defense Evasion,"Windows, macOS","Command Execution
File Metadata
File Modification
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon
WinEventLog:Windows Defender
fs:fileevents
macos:endpointsecurity
macos:unifiedlog",6,"APT37, Windshift",2
T1036.002,Masquerading: Right-to-Left Override,True,T1036,Masquerading,Defense Evasion,"Linux, Windows, macOS","Command Execution
File Access
File Metadata
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon
WinEventLog:Windows Defender
auditd:SYSCALL
desktop:file_manager
fs:quarantine
linux:osquery
macos:endpointsecurity
macos:unifiedlog",9,"BRONZE BUTLER, BlackTech, Ferocious Kitten, Ke3chang, Scarlet Mimic",5
T1036.003,Masquerading: Rename Legitimate Utilities,True,T1036,Masquerading,Defense Evasion,"Linux, Windows, macOS","Command Execution
File Creation
File Metadata
File Modification
Process Creation
Process Metadata",6,"EDR:AMSI
WinEventLog:Sysmon
auditd:SYSCALL
fs:fileevents
linux:osquery
linux:syslog
macos:endpointsecurity
macos:unifiedlog",8,"APT32, APT38, Daggerfly, GALLIUM, Lazarus Group, menuPass",6
T1036.004,Masquerading: Masquerade Task or Service,True,T1036,Masquerading,Defense Evasion,"Linux, Windows, macOS","Process Creation
Scheduled Job Creation
Scheduled Job Metadata
Scheduled Job Modification
Service Creation
Service Metadata",6,"WinEventLog:Security
WinEventLog:Sysmon
WinEventLog:System
auditd:CONFIG_CHANGE
fs:fileevents
linux:cron
linux:osquery
macos:endpointsecurity
macos:unifiedlog",9,"APT-C-36, APT32, APT41, Aquatic Panda, BITTER, BackdoorDiplomacy, Carbanak, FIN13, FIN6, FIN7, Fox Kitten, Higaisa, Kimsuky, Lazarus Group, Magic Hound, Naikon, PROMETHIUM, Storm-0501, UNC3886, Winter Vivern, Wizard Spider, ZIRCONIUM",22
